hgnc_symbol	description	Protein.families	all_sc_proteomics	ND_islet_proteomics	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
MDK	midkine	Pleiotrophin family	13247.59	2218.61	5.9711069	7.34e-11
MIA	MIA SH3 domain containing	MIA/OTOR family	NA	NA	NA	NA
MIF	macrophage migration inhibitory factor	MIF family	792144.93	820557.33	0.9653743	0.806
MLN	motilin	Motilin family	NA	NA	NA	NA
MST1	macrophage stimulating 1	Peptidase S1 family, Plasminogen subfamily	NA	NA	NA	NA
MSTN	myostatin	TGF-beta family	NA	NA	NA	NA
NDP	norrin cystine knot growth factor NDP	NA	NA	NA	NA	NA
NGF	nerve growth factor	NGF-beta family	NA	NA	NA	NA
NLGN1	neuroligin 1	Type-B carboxylesterase/lipase family	NA	NA	NA	NA
NMB	neuromedin B	Bombesin/neuromedin-B/ranatensin family	NA	NA	NA	NA
NMS	neuromedin S	NmU family	NA	NA	NA	NA
NMU	neuromedin U	NmU family	NA	NA	NA	NA
NODAL	nodal growth differentiation factor	TGF-beta family	NA	NA	NA	NA
NPB	neuropeptide B	Neuropeptide B/W family	NA	NA	NA	NA
NPFF	neuropeptide FF-amide peptide precursor	FARP (FMRFamide related peptide) family	NA	NA	NA	NA
NPPA	natriuretic peptide A	Natriuretic peptide family	NA	NA	NA	NA
NPPB	natriuretic peptide B	Natriuretic peptide family	NA	NA	NA	NA
NPPC	natriuretic peptide C	Natriuretic peptide family	NA	NA	NA	NA
NPS	neuropeptide S	NA	NA	NA	NA	NA
NPVF	neuropeptide VF precursor	FARP (FMRFamide related peptide) family	NA	NA	NA	NA
NPW	neuropeptide W	Neuropeptide B/W family	NA	NA	NA	NA
NPY	neuropeptide Y	NPY family	NA	NA	NA	NA
NRG1	neuregulin 1	Neuregulin family	NA	NA	NA	NA
NRG2	neuregulin 2	Neuregulin family	NA	NA	NA	NA
NRG3	neuregulin 3	Neuregulin family	NA	NA	NA	NA
NRG4	neuregulin 4	Neuregulin family	NA	NA	NA	NA
NRTN	neurturin	TGF-beta family, GDNF subfamily	NA	NA	NA	NA
NTF3	neurotrophin 3	NGF-beta family	NA	NA	NA	NA
NTF4	neurotrophin 4	NGF-beta family	NA	NA	NA	NA
NTN1	netrin 1	NA	NA	NA	NA	NA
NTN3	netrin 3	NA	NA	NA	NA	NA
NTN4	netrin 4	NA	NA	NA	NA	NA
NTS	neurotensin	Neurotensin family	NA	NA	NA	NA
NXPH1	neurexophilin 1	Neurexophilin family	NA	NA	NA	NA
NXPH2	neurexophilin 2	Neurexophilin family	NA	NA	NA	NA
NXPH3	neurexophilin 3	Neurexophilin family	NA	NA	NA	NA
OBP2A	odorant binding protein 2A	Calycin superfamily, Lipocalin family	NA	NA	NA	NA
OLFM2	olfactomedin 2	NA	5705.68	11861.3	0.4810333	1.82e-6
ORM1	orosomucoid 1	Calycin superfamily, Lipocalin family	NA	1268.85	NA	NA
OSM	oncostatin M	LIF/OSM family	NA	NA	NA	NA
OSTN	osteocrin	Osteocrin family	NA	NA	NA	NA
OXT	oxytocin/neurophysin I prepropeptide	Vasopressin/oxytocin family	NA	NA	NA	NA
PDCD1LG2	programmed cell death 1 ligand 2	Immunoglobulin superfamily, BTN/MOG family	NA	NA	NA	NA
PDGFA	platelet derived growth factor subunit A	PDGF/VEGF growth factor family	NA	NA	NA	NA
PDGFB	platelet derived growth factor subunit B	PDGF/VEGF growth factor family	NA	NA	NA	NA
PDGFC	platelet derived growth factor C	PDGF/VEGF growth factor family	NA	NA	NA	NA
PDGFD	platelet derived growth factor D	PDGF/VEGF growth factor family	NA	NA	NA	NA
PDYN	prodynorphin	Opioid neuropeptide precursor family	NA	NA	NA	NA
PENK	proenkephalin	Opioid neuropeptide precursor family	NA	NA	NA	NA
PF4	platelet factor 4	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
PF4V1	platelet factor 4 variant 1	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
PGF	placental growth factor	PDGF/VEGF growth factor family	NA	NA	NA	NA
PIP	prolactin induced protein	PIP family	NA	NA	NA	NA
PMCH	pro-melanin concentrating hormone	Melanin-concentrating hormone family	NA	NA	NA	NA
PNOC	prepronociceptin	Opioid neuropeptide precursor family	NA	NA	NA	NA
POMC	proopiomelanocortin	POMC family	NA	NA	NA	NA
PPBP	pro-platelet basic protein	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
PPY	pancreatic polypeptide	NPY family	1070.41	5118.66	0.209119	7.71e-5
PRL	prolactin	Somatotropin/prolactin family	NA	NA	NA	NA
PRLH	prolactin releasing hormone	NA	NA	NA	NA	NA
