Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
O75533,O75533,,SF3B1,,33090
O75534,O75534,,CSDE1,,18884.6
O75554,O75554,,WBP4,,1882.49
O75569,O75569,,PRKRA,,12304.3
O75582,O75582,,RPS6KA5,,588.912
O75586,O75586,,MED6,,2001.09
O75592,O75592,,MYCBP2,,5028.64
O75600,O75600,,GCAT,,4172.6
O75607,O75607,,NPM3,,4487.72
O75608,O75608,,LYPLA1,,26004.2
O75616,O75616,,ERAL1,,926.54
O75643,O75643,,SNRNP200,,21690.1
O75648,O75648,,TRMU,,2741.84
O75663,O75663,,TIPRL,,5585.65
O75665,O75665,,OFD1,,834.946
O75674,O75674,,TOM1L1,,9266.67
O75676,O75676,,RPS6KA4,,4142.43
O75683,O75683,,SURF6,,16768
O75688,O75688,,PPM1B,,25189.7
O75691,O75691,,UTP20,,5820.03
O75694,O75694,,NUP155,,8933.02
O75695,O75695,,RP2,,1330
O75718,O75718,,CRTAP,,5278.61
O75746,O75746,,SLC25A12,,57045.9
O75764,O75764,,TCEA3,,3044.98
O75781,O75781,,PALM,,2215.93
O75787,O75787,,ATP6AP2,,26800.7
O75792,O75792,,RNASEH2A,,1479.27
O75817,O75817,,POP7,,4528.89
O75818,O75818,,RPP40,,
O75820,O75820,,ZNF189,,1018.59
O75821,O75821,,EIF3G,,45999.8
O75822,O75822,,EIF3J,,26419
O75828,O75828,,CBR3,,57138.8
O75830,O75830,,SERPINI2,,7052.72
O75832,O75832,,PSMD10,,17744.6
O75843,O75843,,AP1G2,,9316.43
O75844,O75844,,ZMPSTE24,,20067.8
O75845,O75845,,SC5D,,2099.93
O75864,O75864,,PPP1R37,,2096.05
O75874,O75874,,IDH1,,137601
O75879,O75879,,GATB,,4400.88
O75880,O75880,,SCO1,,22364
O75881,O75881,,CYP7B1,,1051.43
O75882,O75882,,ATRN,,3225.69
O75884,O75884,,RBBP9,,14179.9
O75886,O75886,,STAM2,,10197.3
O75891,O75891,,ALDH1L1,,14878.2
O75896,O75896,,TUSC2,,6315.73
O75907,O75907,,DGAT1,,
O75909,O75909,,CCNK,,3281.54
O75911,O75911,,DHRS3,,
O75912,O75912,,DGKI,,
O75914,O75914,,PAK3,,9465.05
O75915,O75915,,ARL6IP5,,30018.4
O75923,O75923,,DYSF,,4855.82
O75925,O75925,,PIAS1,,1424.97
O75934,O75934,,BCAS2,,7723.28
O75935,O75935,,DCTN3,,14261.8
O75937,O75937,,DNAJC8,,26890.6
O75940,O75940,,SMNDC1,,10686
O75943,O75943,,RAD17,,
O75947,O75947,,ATP5PD,,76686.8
O75955,O75955,,FLOT1,,15615.9
O75962,O75962,,TRIO,,3048.11
O75964,O75964,,ATP5MG,,113904
O75970,O75970,,MPDZ,,1125.72
O75973,O75973,,C1QL1,,365.057
O75976,O75976,,CPD,,26768
O76003,O76003,,GLRX3,,8883.39
O76021,O76021,,RSL1D1,,20185.1
O76024,O76024,,WFS1,,50287.3
O76027,O76027,,ANXA9,,3195.36
O76031,O76031,,CLPX,,8888.06
O76038,O76038,,SCGN,,480597
O76041,O76041,,NEBL,,8149.96
O76050,O76050,,NEURL1,,1373.43
O76054,O76054,,SEC14L2,,1611.21
O76062,O76062,,TM7SF2,,10374.4
O76070,O76070,,SNCG,,1092.49
O76071,O76071,,CIAO1,,1304.51
O76074,O76074,,PDE5A,,3701.69
O76075,O76075,,DFFB,,542.315
O76080,O76080,,ZFAND5,,51.1928
O76094,O76094,,SRP72,,33438.8
O76095,O76095,,JTB,,1976.04
O77932,O77932,,DXO,,
O94760,O94760,,DDAH1,,108875
O94763,O94763,,URI1,,5144.8
O94766,O94766,,B3GAT3,,13881.5
O94776,O94776,,MTA2,,14352.1
O94788,O94788,,ALDH1A2,,1288.01
O94804,O94804,,STK10,,2557.55
O94805,O94805,,ACTL6B,,4473.67
O94808,O94808,,GFPT2,,
O94811,O94811,,TPPP,,19471.4
O94812,O94812,,BAIAP3,,1775.89
O94817,O94817,,ATG12,,5816.65
O94818,O94818,,NOL4,,16786.8
O94819,O94819,,KBTBD11,,4036.32
O94822,O94822,,LTN1,,4482.69
O94826,O94826,,TOMM70,,29938.8
O94829,O94829,,IPO13,,1270.7
O94830,O94830,,DDHD2,,3449.04
O94832,O94832,,MYO1D,,20477.4
O94842,O94842,,TOX4,,5253.31
O94855,O94855,,SEC24D,,21549
O94856,O94856,,NFASC,,7121.78
O94864,O94864,,SUPT7L,,510.242
O94874,O94874,,UFL1,,40724.7
O94875,O94875,,SORBS2,,65197
O94876,O94876,,TMCC1,,3013.95
O94880,O94880,,PHF14,,2881.33
O94886,O94886,,TMEM63A,,3875.07
O94887,O94887,,FARP2,,7160.51
O94888,O94888,,UBXN7,,8751.61
O94900,O94900,,TOX,,1003.1
O94901,O94901,,SUN1,,7292.4
O94903,O94903,,PLPBP,,24249.1
O94905,O94905,,ERLIN2,,34440.2
O94906,O94906,,PRPF6,,18513.7
O94910,O94910,,ADGRL1,,
O94913,O94913,,PCF11,,2319.59
O94915,O94915,,FRYL,,4868.81
O94916,O94916,,NFAT5,,1618.83
O94919,O94919,,ENDOD1,,20382.6
O94921,O94921,,CDK14,,1147.87
O94923,O94923,,GLCE,,6344.83
O94925,O94925,,GLS,,40782.4
O94927,O94927,,HAUS5,,
O94941,O94941,,UBOX5,,344.657
O94952,O94952,,FBXO21,,763.315
O94953,O94953,,KDM4B,,
O94964,O94964,,SOGA1,,168.784
O94966,O94966,,USP19,,3989.45
O94967,O94967,,WDR47,,3231.55
O94973,O94973,,AP2A2,,21324.8
O94979,O94979,,SEC31A,,74882.2
O94992,O94992,,HEXIM1,,5970.6
O95049,O95049,,TJP3,,3144.89
O95059,O95059,,RPP14,,2710.24
O95070,O95070,,YIF1A,,13242.7
O95071,O95071,,UBR5,,4195.79
O95081,O95081,,AGFG2,,4652.17
O95084,O95084,,PRSS23,,
O95096,O95096,,NKX2-2,,2094.84
O95104,O95104,,SCAF4,,9467.82
O95139,O95139,,NDUFB6,,34590.6
O95140,O95140,,MFN2,,10837.8
O95154,O95154,,AKR7A3,,18796.2
O95155,O95155,,UBE4B,,3450.38
O95159,O95159,,ZFPL1,,3754.29
O95163,O95163,,ELP1,,7187.45
O95164,O95164,,UBL3,,2528.41
O95166,O95166,,GABARAP,,3492.65
O95167,O95167,,NDUFA3,,6120.14
O95168,O95168,,NDUFB4,,67960.2
O95169,O95169,,NDUFB8,,30544.1
O95178,O95178,,NDUFB2,,6859.58
O95182,O95182,,NDUFA7,,17240.6
O95197,O95197,,RTN3,,28046.4
O95202,O95202,,LETM1,,23426.8
O95208,O95208,,EPN2,,1804.83
O95210,O95210,,STBD1,,7191.84
O95218,O95218,,ZRANB2,,7310.28
O95219,O95219,,SNX4,,6399.1
O95232,O95232,,LUC7L3,,7614.83
O95248,O95248,,SBF1,,2570.33
O95249,O95249,,GOSR1,,8194.92
O95251,O95251,,KAT7,,3446.2
O95258,O95258,,SLC25A14,,2636.76
O95260,O95260,,ATE1,,2483.15
O95267,O95267,,RASGRP1,,3401.05
O95273,O95273,,CCNDBP1,,
O95278,O95278,,EPM2A,,3717.86
O95292,O95292,,VAPB,,34565.9
O95294,O95294,,RASAL1,,225.759
O95295,O95295,,SNAPIN,,10689.1
O95297,O95297,,MPZL1,,2623.18
O95298,O95298,,NDUFC2,,11253
O95299,O95299,,NDUFA10,,34679.4
O95302,O95302,,FKBP9,,10921.1
O95319,O95319,,CELF2,,
O95336,O95336,,PGLS,,57680.9
O95340,O95340,,PAPSS2,,45749
O95347,O95347,,SMC2,,
O95352,O95352,,ATG7,,4628.15
O95359,O95359,,TACC2,,6819.97
O95363,O95363,,FARS2,,2219.69
O95372,O95372,,LYPLA2,,18371.4
O95373,O95373,,IPO7,,19458.4
O95376,O95376,,ARIH2,,2300.84
O95379,O95379,,TNFAIP8,,2033.63
O95391,O95391,,SLU7,,2180.6
O95394,O95394,,PGM3,,29998.4
O95396,O95396,,MOCS3,,8092.43
O95399,O95399,,UTS2,,500163
O95400,O95400,,CD2BP2,,13448.6
O95405,O95405,,ZFYVE9,,4502.27
O95425,O95425,,SVIL,,3613.91
O95427,O95427,,PIGN,,
O95433,O95433,,AHSA1,,19455.9
O95450,O95450,,ADAMTS2,,1042.65
O95453,O95453,,PARN,,3984.08
O95456,O95456,,PSMG1,,3643.82
O95467,O95467,,GNAS,,12260.7
O95470,O95470,,SGPL1,,13247.2
O95476,O95476,,CTDNEP1,,644.155
O95479,O95479,,H6PD,,4760.44
O95486,O95486,,SEC24A,,7296.31
O95487,O95487,,SEC24B,,12863.2
O95490,O95490,,ADGRL2,,735.361
O95502,O95502,,NPTXR,,2009.5
O95503,O95503,,CBX6,,3122.32
O95551,O95551,,TDP2,,5242.96
O95562,O95562,,SFT2D2,,3484.35
O95563,O95563,,MPC2,,14570.8
O95571,O95571,,ETHE1,,10518.4
O95573,O95573,,ACSL3,,10336.4
O95602,O95602,,POLR1A,,2449.52
O95613,O95613,,PCNT,,2310.47
O95619,O95619,,YEATS4,,5779.6
O95628,O95628,,CNOT4,,1667.97
O95630,O95630,,STAMBP,,5730.86
O95639,O95639,,CPSF4,,242.398
O95670,O95670,,ATP6V1G2,,608.323
O95671,O95671,,ASMTL,,11761.8
O95674,O95674,,CDS2,,28301.6
O95684,O95684,,CEP43,,317.781
O95685,O95685,,PPP1R3D,,1112.86
O95696,O95696,,BRD1,,2037.97
O95707,O95707,,POP4,,2633.09
O95714,O95714,,HERC2,,2653.08
O95716,O95716,,RAB3D,,218958
O95721,O95721,,SNAP29,,6986.83
O95747,O95747,,OXSR1,,19609.4
O95749,O95749,,GGPS1,,3801.72
O95757,O95757,,HSPA4L,,15711.5
O95758,O95758,,PTBP3,,11850.5
O95759,O95759,,TBC1D8,,2036.55
O95772,O95772,,STARD3NL,,3599.94
O95777,O95777,,LSM8.00,,17676.4
O95782,O95782,,AP2A1,,20065.6
O95785,O95785,,WIZ,,2647.43
O95786,O95786,,DDX58,,5244.78
O95793,O95793,,STAU1,,6513.57
O95801,O95801,,TTC4,,2202.62
O95807,O95807,,TMEM50A,,1915.85
O95810,O95810,,CAVIN2,,14608.7
O95816,O95816,,BAG2,,7657.94
O95817,O95817,,BAG3,,12044.4
O95819,O95819,,MAP4K4,,1966.01
O95822,O95822,,MLYCD,,9957.94
O95825,O95825,,CRYZL1,,6149.73
O95831,O95831,,AIFM1,,41976
O95832,O95832,,CLDN1,,
O95834,O95834,,EML2,,21608.3
O95837,O95837,,GNA14,,1570.81
O95848,O95848,,NUDT14,,7704.38
O95861,O95861,,BPNT1,,21511.1
O95864,O95864,,FADS2,,
O95865,O95865,,DDAH2,,25478.8
O95870,O95870,,ABHD16A,,14203.2
O95873,O95873,,C6orf47,,2757.45
O95881,O95881,,TXNDC12,,20246.8
O95897,O95897,,OLFM2,,3501.32
O95905,O95905,,ECD,,
O95926,O95926,,SYF2,,843.192
O95931,O95931,,CBX7,,2238.69
O95954,O95954,,FTCD,,6572.69
O95983,O95983,,MBD3,,710.923
O95985,O95985,,TOP3B,,2363.87
O95989,O95989,,NUDT3,,9386.25
O95994,O95994,,AGR2,,59990.2
O95999,O95999,,BCL10,,1483.81
O96000,O96000,,NDUFB10,,53987.8
O96005,O96005,,CLPTM1,,12653.9
O96006,O96006,,ZBED1,,839.752
O96007,O96007,,MOCS2,,4379.17
O96008,O96008,,TOMM40,,4182.02
O96011,O96011,,PEX11B,,7844.27
O96013,O96013,,PAK4,,12653.6
O96019,O96019,,ACTL6A,,9401.44
O96033,O96033,,MOCS2,,1106.86
P00167,P00167,,CYB5A,,53808.5
P00325,P00325,,ADH1B,,22334.6
P00326,P00326,,ADH1C,,11067.9
P00338,P00338,,LDHA,,61976.3
P00352,P00352,,ALDH1A1,,733915
P00367,P00367,,GLUD1,,87645.8
P00387,P00387,,CYB5R3,,96017.7
P00390,P00390,,GSR,,49599.5
P00395,P00395,,MT-CO1,,
P00403,P00403,,MT-CO2,,84966.6
P00414,P00414,,MT-CO3,,3603.44
P00439,P00439,,PAH,,
P00441,P00441,,SOD1,,89885.2
P00450,P00450,,CP,,358.34
P00451,P00451,,F8,,11972.5
P00480,P00480,,OTC,,7970.36
P00488,P00488,,F13A1,,6124.41
P00491,P00491,,PNP,,9663.05
P00492,P00492,,HPRT1,,44171.8
P00505,P00505,,GOT2,,161271
P00519,P00519,,ABL1,,1485.56
P00533,P00533,,EGFR,,3430.68
P00558,P00558,,PGK1.00,,582477
P00568,P00568,,AK1,,106805
P00738,P00738,,HP,,9326.39
P00742,P00742,,F10,,18449.6
P00751,P00751,,CFB,,
P00813,P00813,,ADA,,1174.14
P00846,P00846,,MT-ATP6,,11703.9
P00915,P00915,,CA1,,1893.07
P00918,P00918,,CA2,,57855.3
P00966,P00966,,ASS1,,23741.6
P00995,P00995,,SPINK1,,31730.7
P01008,P01008,,SERPINC1,,9312.08
P01009,P01009,,SERPINA1,,49953.1
P01011,P01011,,SERPINA3,,102276
P01019,P01019,,AGT,,2691.67
P01023,P01023,,A2M,,75429
P01024,P01024,,C3,,16717
P01033,P01033,,TIMP1,,21267.1
P01034,P01034,,CST3,,167019
P01040,P01040,,CSTA,,5194.67
P01100,P01100,,FOS,,586.336
P01111,P01111,,NRAS,,8600.92
P01112,P01112,,HRAS,,5158.07
P01116,P01116,,KRAS,,16540.1
P01130,P01130,,LDLR,,
P01137,P01137,,TGFB1,,
P01275,P01275,,GCG,,626838
P01298,P01298,,PPY,,30903.5
P01308B,P01308B,,INS,,339101
P01344,P01344,,IGF2,,
P01706,P01706,,IGLV2-11,,
P01732,P01732,,CD8A,,508.645
P01833,P01833,,PIGR,,1422.71
P01834,P01834,,IGKC,,5391.23
P01857,P01857,,IGHG1,,15254.4
P01876,P01876,,IGHA1,,5758.38
P01889,P01889,,HLA-B,,15315.9
P01893,P01893,,HLA-H,,7656.68
P01903,P01903,,HLA-DRA,,
P01911,P01911,,HLA-DRB1,,
P02042,P02042,,HBD,,8231.62
P02462,P02462,,COL4A1,,
P02511,P02511,,CRYAB,,12084.5
P02533,P02533,,KRT14,,28297.8
P02538,P02538,,KRT6A,,15227.9
P02545,P02545,,LMNA,,315208
P02549,P02549,,SPTA1,,
P02647,P02647,,APOA1,,7803.92
P02649,P02649,,APOE,,8510.6
P02652,P02652,,APOA2,,1591.85
P02656,P02656,,APOC3,,285.579
P02671,P02671,,FGA,,1993.41
P02675,P02675,,FGB,,2826.19
P02679,P02679,,FGG,,1386.87
P02686,P02686,,MBP,,4739.45
P02743,P02743,,APCS,,3744.78
P02748,P02748,,C9,,5984.79
P02749,P02749,,APOH,,33787.2
P02750,P02750,,LRG1,,483.263
P02751,P02751,,FN1,,320.016
P02753,P02753,,RBP4,,149697
P02760,P02760,,AMBP,,
P02765,P02765,,AHSG,,239.192
P02766,P02766,,TTR,,263406
P02768,P02768,,ALB,,1.5864E+06
P02774,P02774,,GC,,60277.7
P02786,P02786,,TFRC,,6865.34
P02787,P02787,,TF,,12972
P02788,P02788,,LTF,,
P02790,P02790,,HPX,,1312.45
P02792,P02792,,FTL,,151295
P02794,P02794,,FTH1,,92209.9
P02795,P02795,,MT2A,,91.3052
P03886,P03886,,MT-ND1,,876.614
P03891,P03891,,MT-ND2,,1630.44
P03905,P03905,,MT-ND4,,5668.98
P03915,P03915,,MT-ND5,,8652.7
P03928,P03928,,MT-ATP8,,7129.13
P03950,P03950,,ANG,,1265.94
P03951,P03951,,F11,,
P03952,P03952,,KLKB1,,662.611
P04004,P04004,,VTN,,3063.9
P04040,P04040,,CAT,,23995
P04054,P04054,,PLA2G1B,,11819.1
P04062,P04062,,GBA,,12259.4
P04066,P04066,,FUCA1,,34917.9
P04075,P04075,,ALDOA,,211225
P04080,P04080,,CSTB,,81247
P04083,P04083,,ANXA1,,31130.4
P04114,P04114,,APOB,,8821.02
P04118,P04118,,CLPS,,46518.1
P04150,P04150,,NR3C1,,1476.23
P04156,P04156,,PRNP,,2965.61
P04179,P04179,,SOD2,,108304
P04181,P04181,,OAT,,19207
P04216,P04216,,THY1,,15046.2
P04233,P04233,,CD74,,
P04259,P04259,,KRT6B,,8264.68
P04264,P04264,,KRT1,,416920
P04271,P04271,,S100B,,4463
P04275,P04275,,VWF,,1485.1
P04350,P04350,,TUBB4A,,6228.06
P04406,P04406,,GAPDH,,735292
P04424,P04424,,ASL,,16540.1
P04439,P04439,,HLA-A,,21437.2
P04632,P04632,,CAPNS1,,44545.7
P04746,P04746,,AMY2A,,151374
P04792,P04792,,HSPB1,,240154
P04843,P04843,,RPN1,,116558
P04844,P04844,,RPN2,,102163
P04899,P04899,,GNAI2,,58169.8
P05023,P05023,,ATP1A1,,143181
P05026,P05026,,ATP1B1,,130208
P05060,P05060,,CHGB,,33608
P05062,P05062,,ALDOB,,12947.7
P05067,P05067,,APP,,5701.96
P05089,P05089,,ARG1,,2389.65
P05090,P05090,,APOD,,5138.55
P05091,P05091,,ALDH2,,70667.2
P05106,P05106,,ITGB3,,
P05109,P05109,,S100A8,,4039.57
P05114,P05114,,HMGN1,,31622.5
P05120,P05120,,SERPINB2,,5940.57
P05121,P05121,,SERPINE1,,
P05141,P05141,,SLC25A5,,185562
P05154,P05154,,SERPINA5,,2015.58
P05155,P05155,,SERPING1,,5848.29
P05156,P05156,,CFI,,4685.22
P05161,P05161,,ISG15,,2591.11
P05162,P05162,,LGALS2,,6898.04
P05164,P05164,,MPO,,1234.1
P05165,P05165,,PCCA,,21255.8
P05166,P05166,,PCCB,,20629.5
P05186,P05186,,ALPL,,2111.42
P05198,P05198,,EIF2S1,,47526.4
P05204,P05204,,HMGN2,,392941
P05362,P05362,,ICAM1,,7107.07
P05386,P05386,,RPLP1,,151189
P05387,P05387,,RPLP2,,192743
P05388,P05388,,RPLP0,,110370
P05408,P05408,,SCG5,,93887.9
P05412,P05412,,JUN,,4289.81
P05413,P05413,,FABP3,,
P05423,P05423,,POLR3D,,
P05451,P05451,,REG1A,,49960.5
P05455,P05455,,SSB,,61680.3
P05546,P05546,,SERPIND1,,6580.56
P05556,P05556,,ITGB1,,37911.2
P05783,P05783,,KRT18,,1.54085E+06
P05787,P05787,,KRT8,,1.22062E+06
P05937,P05937,,CALB1,,28551.2
P05976,P05976,,MYL1,,51210.7
P06132,P06132,,UROD,,16260.6
P06213,P06213,,INSR,,1919.81
P06276,P06276,,BCHE,,
P06280,P06280,,GLA,,7411.6
P06396,P06396,,GSN,,243281
P06400,P06400,,RB1,,1449
P06401,P06401,,PGR,,2066.16
P06454,P06454,,PTMA,,113709
P06576,P06576,,ATP5F1B,,246335
P06702,P06702,,S100A9,,7919.69
P06703,P06703,,S100A6,,31001
P06727,P06727,,APOA4,,4995.03
P06730,P06730,,EIF4E,,31543.2
P06733,P06733,,ENO1,,539736
P06737,P06737,,PYGL,,2495.56
P06744,P06744,,GPI,,258976
P06746,P06746,,POLB,,5588.3
P06748,P06748,,NPM1,,97796.5
P06753,P06753,,TPM3,,171659
P06756,P06756,,ITGAV,,14105.1
P06850,P06850,,CRH,,16989.8
P06865,P06865,,HEXA,,25075.4
P06870,P06870,,KLK1,,45380.2
P07093,P07093,,SERPINE2,,6646.02
P07099,P07099,,EPHX1,,104928
P07108,P07108,,DBI,,129503
P07195,P07195,,LDHB,,100785
P07196,P07196,,NEFL,,476.02
P07197,P07197,,NEFM,,2772.04
P07199,P07199,,CENPB,,5527.38
P07203,P07203,,GPX1,,28859.2
P07204,P07204,,THBD,,1507.42
P07205,P07205,,PGK2.00,,1469.92
P07225,P07225,,PROS1,,
P07237,P07237,,P4HB,,439623
P07305,P07305,,H1-0,,278580
P07311,P07311,,ACYP1,,8194.77
P07320,P07320,,CRYGD,,
P07327,P07327,,ADH1A,,
P07339,P07339,,CTSD,,231391
P07355,P07355,,ANXA2,,143070
P07358,P07358,,C8B,,
P07384,P07384,,CAPN1,,48891.2
P07437,P07437,,TUBB,,357655
P07477,P07477,,PRSS1,,369745
P07478,P07478,,PRSS2,,364557
P07602,P07602,,PSAP,,90691.1
P07686,P07686,,HEXB,,22153.2
P07711,P07711,,CTSL,,3908.87
P07737,P07737,,PFN1,,88413
P07738,P07738,,BPGM,,5053.13
P07741,P07741,,APRT,,29496
P07814,P07814,,EPRS1,,49053.8
P07858,P07858,,CTSB,,43170
P07900,P07900,,HSP90AA1,,339964
P07902,P07902,,GALT,,7305.85
P07910,P07910,,HNRNPC,,344459
P07919,P07919,,UQCRH,,1253.09
P07942,P07942,,LAMB1,,11287.2
P07947,P07947,,YES1,,7783.42
P07948,P07948,,LYN,,2738.03
P07951,P07951,,TPM2,,16342.8
P07954,P07954,,FH,,72474.3
P07996,P07996,,THBS1,,1735.85
P08047,P08047,,SP1,,
P08048,P08048,,ZFY,,
P08069,P08069,,IGF1R,,2213.28
P08123,P08123,,COL1A2,,
P08133,P08133,,ANXA6,,144381
P08134,P08134,,RHOC,,3431.71
P08174,P08174,,CD55,,
P08183,P08183,,ABCB1,,5478.49
P08195,P08195,,SLC3A2,,82998.3
P08217,P08217,,CELA2A,,66089.8
P08218,P08218,,CELA2B,,3859.73
P08236,P08236,,GUSB,,7765.85
P08237,P08237,,PFKM,,58964.7
P08238,P08238,,HSP90AB1,,326447
P08240,P08240,,SRPRA,,30411.6
P08243,P08243,,ASNS,,12874.2
P08247,P08247,,SYP,,26393
P08253,P08253,,MMP2,,
P08263,P08263,,GSTA1,,107555
P08294,P08294,,SOD3,,5791.55
P08311,P08311,,CTSG,,6135.07
P08397,P08397,,HMBS,,3334.79
P08493,P08493,,MGP,,1701.61
P08559,P08559,,PDHA1,,39500.9
P08571,P08571,,CD14,,3300.82
P08572,P08572,,COL4A2,,2453.17
P08574,P08574,,CYC1,,32936.2
P08579,P08579,,SNRPB2,,19424.6
P08621,P08621,,SNRNP70,,53184.2
P08648,P08648,,ITGA5,,1740.41
P08651,P08651,,NFIC,,32117.4
P08670,P08670,,VIM,,345379
P08684,P08684,,CYP3A4,,
P08708,P08708,,RPS17,,52059.8
P08727,P08727,,KRT19,,346840
P08729,P08729,,KRT7,,68424.6
P08754,P08754,,GNAI3,,16954.4
P08758,P08758,,ANXA5,,280803
P08779,P08779,,KRT16,,11359.5
P08842,P08842,,STS,,3359.02
P08861,P08861,,CELA3B,,53959.7
P08865,P08865,,RPSA,,168633
P08913,P08913,,ADRA2A,,2011.16
P08962,P08962,,CD63,,19851.8
P09001,P09001,,MRPL3,,4650.46
P09012,P09012,,SNRPA,,44054.2
P09093,P09093,,CELA3A,,153846
P09104,P09104,,ENO2,,152434
P09110,P09110,,ACAA1,,9978.61
P09132,P09132,,SRP19,,13478.3
P09210,P09210,,GSTA2,,280888
P09211,P09211,,GSTP1,,128658
P09234,P09234,,SNRPC,,5005.02
P09237,P09237,,MMP7,,
P09327,P09327,,VIL1,,15503.3
P09382,P09382,,LGALS1,,18133.1
P09417,P09417,,QDPR,,79666.6
P09429,P09429,,HMGB1,,214494
P09455,P09455,,RBP1,,76905.4
P09467,P09467,,FBP1,,24714.3
P09471,P09471,,GNAO1,,173148
P09486,P09486,,SPARC,,2310.76
P09488,P09488,,GSTM1,,14128.3
P09493,P09493,,TPM1,,11912.3
P09496,P09496,,CLTA,,54076.7
P09497,P09497,,CLTB,,25544.4
P09525,P09525,,ANXA4,,354067
P09543,P09543,,CNP,,28419.5
P09601,P09601,,HMOX1,,
P09619,P09619,,PDGFRB,,105932
P09622,P09622,,DLD,,72815.6
P09651,P09651,,HNRNPA1,,137266
P09661,P09661,,SNRPA1,,25517.6
P09668,P09668,,CTSH,,2932.1
P09669,P09669,,COX6C,,236709
P09758,P09758,,TACSTD2,,9805.29
P09874,P09874,,PARP1,,67186.9
P09913,P09913,,IFIT2,,915.617
P09914,P09914,,IFIT1,,3084.67
P09917,P09917,,ALOX5,,6101.87
P09936,P09936,,UCHL1,,354846
P09958,P09958,,FURIN,,2372.7
P09960,P09960,,LTA4H,,30889.8
P09972,P09972,,ALDOC,,21238.8
P0C0L5,P0C0L5,,C4B,,5495.11
P0C0S5,P0C0S5,,H2AZ1,,202425
P0C0S8,P0C0S8,,H2AC11,,1.81004E+06
P0C2W1,P0C2W1,,FBXO45,,
P0C7M7,P0C7M7,,ACSM4,,4190.74
P0C7P0,P0C7P0,,CISD3,,542.158
P0C7T5,P0C7T5,,ATXN1L,,2804.79
P0C870,P0C870,,JMJD7,,2001.3
P0CAP1,P0CAP1,,MYZAP,,
P0CAP2,P0CAP2,,POLR2M,,577.203
P0CG12,P0CG12,,DERPC,,8119.39
P0CG29,P0CG29,,GSTT2,,11185.7
P0CG37,P0CG37,,CFC1,,42240.5
P0CG40,P0CG40,,SP9,,
P0CK96,P0CK96,,SLC35E2B,,2408.69
P0DI81,P0DI81,,TRAPPC2,,2669.79
P0DJ07,P0DJ07,,PET100,,
P0DMM9,P0DMM9,,SULT1A3,,1004.57
P0DMV8,P0DMV8,,HSPA1A,,339828
P0DN76,P0DN76,,U2AF1L5,,28035.2
P0DN79,P0DN79,,CBSL,,2205.94
P0DOY2,P0DOY2,,IGLC2,,5409.59
P0DP23,P0DP23,,CALM1,,80438.8
P0DPB6,P0DPB6,,POLR1D,,
P10109,P10109,,FDX1,,9418.07
P10145,P10145,,CXCL8,,2386.51
P10155,P10155,,RO60,,19973.8
P10253,P10253,,GAA,,77125
P10301,P10301,,RRAS,,30851.7
P10321,P10321,,HLA-C,,14008.8
P10398,P10398,,ARAF,,4527.82
P10412,P10412,,H1-4,,894250
P10451,P10451,,SPP1,,1671.51
P10515,P10515,,DLAT,,44575.8
P10586,P10586,,PTPRF,,3170.76
P10588,P10588,,NR2F6,,1633.5
P10599,P10599,,TXN,,37044
P10606,P10606,,COX5B,,39746.8
P10619,P10619,,CTSA,,9088.2
P10620,P10620,,MGST1,,2515.92
P10636,P10636,,MAPT,,13139.5
P10643,P10643,,C7,,1868.82
P10644,P10644,,PRKAR1A,,18593.4
P10645,P10645,,CHGA,,117268
P10746,P10746,,UROS,,2684.31
P10768,P10768,,ESD,,88592.2
P10809,P10809,,HSPD1,,213024
P10909,P10909,,CLU,,314612
P10915,P10915,,HAPLN1,,2762.62
P10997,P10997,,IAPP,,4685.77
P11021,P11021,,HSPA5,,549159
P11047,P11047,,LAMC1,,20923.7
P11117,P11117,,ACP2,,19282.3
P11137,P11137,,MAP2,,56600.1
P11142,P11142,,HSPA8,,489701
P11166,P11166,,SLC2A1,,2664.49
P11168,P11168,,SLC2A2,,7248.53
P11169,P11169,,SLC2A3,,
P11171,P11171,,EPB41,,7622.69
P11172,P11172,,UMPS,,8822
P11177,P11177,,PDHB,,49031
P11182,P11182,,DBT,,35542.5
P11216,P11216,,PYGB,,27714.9
P11217,P11217,,PYGM,,337.828
P11233,P11233,,RALA,,64354.2
P11234,P11234,,RALB,,11036.5
P11274,P11274,,BCR,,9405.29
P11277,P11277,,SPTB,,7736.44
P11279,P11279,,LAMP1,,142702
P11310,P11310,,ACADM,,77636.3
P11362,P11362,,FGFR1,,1866.19
P11387,P11387,,TOP1.00,,19622.2
P11413,P11413,,G6PD,,11641.1
P11441,P11441,,UBL4A,,17269.6
P11498,P11498,,PC,,14708.8
P11532,P11532,,DMD,,3848.17
P11586,P11586,,MTHFD1,,31928.6
P11717,P11717,,IGF2R,,6933.44
P11766,P11766,,ADH5,,50213.8
P11802,P11802,,CDK4,,3862.18
P11908,P11908,,PRPS2,,11735.3
P11940,P11940,,PABPC1,,72659.8
P12004,P12004,,PCNA,,12517
P12035,P12035,,KRT3,,874.079
P12074,P12074,,COX6A1,,32943.7
P12081,P12081,,HARS1,,23233.7
P12109,P12109,,COL6A1,,83028.6
